method,threshold,precision,recall,f1,tp,fp,fn,tn,runtime_sec
minhash,0.2,0.5119,0.4574,0.4831,86,82,102,230,0.253
minhash,0.3,0.5159,0.3457,0.414,65,61,123,251,0.217
minhash,0.4,0.5055,0.2447,0.3297,46,45,142,267,0.224
minhash,0.5,0.5,0.1809,0.2656,34,34,154,278,0.213
minhash,0.6,0.5217,0.1277,0.2051,24,22,164,290,0.187
minhash,0.7,0.5294,0.0957,0.1622,18,16,170,296,0.182
minhash,0.8,0.52,0.0691,0.1221,13,12,175,300,0.232
simhash,0.2,0.376,1.0,0.5465,188,312,0,0,0.144
simhash,0.3,0.376,1.0,0.5465,188,312,0,0,0.161
simhash,0.4,0.377,0.9947,0.5468,187,309,1,3,0.168
simhash,0.5,0.3996,0.9628,0.5647,181,272,7,40,0.161
simhash,0.6,0.4735,0.8564,0.6098,161,179,27,133,0.141
simhash,0.7,0.505,0.5372,0.5206,101,99,87,213,0.137
simhash,0.8,0.5319,0.266,0.3546,50,44,138,268,0.178
